SourceElementKey,Latitude,Longitude,BlockfaceName,SideOfStreet,ParkingSpaceCount,PaidParkingArea
94611,-122.33167587,47.62831225,FAIRVIEW NR AVE N BETWEEN WARD ST AND YALE AVE N,SE,27,South Lake Union
34878,-122.33157855,47.62024023,PONTIUS AVE N BETWEEN JOHN E ST AND THOMAS ST,E,7,South Lake Union
81497,-122.3391098,47.62621889,WESTLAKE AVE N BETWEEN VALLEY ST AND 9TH AVE N,SW,14,South Lake Union
11674,-122.3238706,47.60883396,MARION ST BETWEEN BOREN AVE AND MINOR AVE,SE,5,First Hill
11785,-122.33106904,47.62432312,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,N,8,South Lake Union
54073,-122.33160969,47.62691411,ALOHA ST BETWEEN MINOR AVE N AND YALE AVE N,N,10,South Lake Union
59042,-122.33035437,47.62369826,YALE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,10,South Lake Union
13549,-122.33858807,47.62027929,WESTLAKE AVE N BETWEEN JOHN ST AND THOMAS ST,W,11,South Lake Union
58449,-122.33643178,47.62093462,THOMAS ST BETWEEN TERRY AVE N AND BOREN AVE N,N,3,South Lake Union
55373,-122.3425489,47.62030601,DEXTER AVE N BETWEEN JOHN ST AND THOMAS ST,W,5,South Lake Union
34502,-122.33287778,47.62025858,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,E,10,South Lake Union
8394,-122.33976022,47.61770236,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,3,Denny Triangle
12769,-122.32371785,47.61199602,SENECA ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,NW,9,First Hill
56982,-122.32723738,47.60743217,MARION ST BETWEEN 8TH AVE AND 9TH AVE,SE,6,First Hill
56349,-122.34299816,47.61980442,JOHN ST BETWEEN 7TH NB AVE N AND DEXTER AVE N,N,3,South Lake Union
30705,-122.34494996,47.61820358,6TH AVE BETWEEN WALL ST AND DENNY WAY,SW,8,Denny Triangle
8402,-122.34093993,47.62390853,8TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,E,11,South Lake Union
35718,-122.32195506,47.60425599,TERRY AVE BETWEEN ALDER ST AND TERRACE ST,NE,9,First Hill
32554,-122.32659016,47.606704,COLUMBIA ST BETWEEN 8TH AVE AND 9TH AVE,SE,9,First Hill
54738,-122.32081137,47.62368073,BROADWAY E BETWEEN E REPUBLICAN ST AND E MERCER ST,E,5,Capitol Hill
13142,-122.3297844,47.62076448,THOMAS ST BETWEEN YALE AVE N AND EASTLAKE AVE E,S,4,South Lake Union
80890,-122.33481256,47.61522576,STEWART ST BETWEEN 8TH AVE AND 9TH AVE,SE,9,Denny Triangle
81198,-122.327372,47.61268211,UNION ST BETWEEN BOREN AVE AND MINOR AVE,SE,7,First Hill
77558,-122.32478402,47.60646959,CHERRY ST BETWEEN 9TH AVE AND TERRY AVE,SE,12,First Hill
